Make,Model,Year,Price,Mileage,Color,Engine,Transmission,Fuel_Type
Toyota,Camry,2020,25000,15000,Silver,2.5L,Automatic,Gasoline
Honda,Accord,2019,23000,20000,Black,2.0L,Automatic,Gasoline
Ford,Mustang,2021,35000,5000,Red,5.0L,Manual,Gasoline
BMW,3 Series,2020,42000,12000,White,2.0L,Automatic,Gasoline
Mercedes,C-Class,2019,38000,18000,Black,2.0L,Automatic,Gasoline
Audi,A4,2020,40000,10000,Gray,2.0L,Automatic,Gasoline
Tesla,Model 3,2021,45000,8000,White,Electric,Automatic,Electric
Nissan,Altima,2020,22000,16000,Blue,2.5L,Automatic,Gasoline
Chevrolet,Malibu,2019,20000,22000,Silver,1.5L,Automatic,Gasoline
Hyundai,Elantra,2020,18000,14000,Red,2.0L,Automatic,Gasoline
Kia,Optima,2019,19000,20000,White,2.4L,Automatic,Gasoline
Mazda,Mazda6,2020,26000,11000,Blue,2.5L,Automatic,Gasoline
Subaru,Legacy,2019,24000,19000,Gray,2.5L,Automatic,Gasoline
Volkswagen,Passat,2020,22000,13000,Black,2.0L,Automatic,Gasoline
Lexus,ES,2020,45000,9000,Silver,3.5L,Automatic,Gasoline
Acura,TLX,2019,32000,17000,White,2.4L,Automatic,Gasoline
Infiniti,Q50,2020,36000,12000,Black,3.0L,Automatic,Gasoline
Genesis,G70,2021,38000,6000,Blue,2.0L,Automatic,Gasoline
Toyota,Corolla,2020,20000,15000,White,1.8L,Automatic,Gasoline
Honda,Civic,2019,18000,21000,Silver,1.5L,Automatic,Gasoline
Ford,Fusion,2020,21000,14000,Black,2.0L,Automatic,Gasoline
Chevrolet,Impala,2019,24000,20000,Gray,3.6L,Automatic,Gasoline
Nissan,Maxima,2020,32000,11000,Red,3.5L,Automatic,Gasoline
Toyota,Avalon,2019,35000,18000,White,3.5L,Automatic,Gasoline
Honda,Insight,2020,25000,12000,Blue,Hybrid,Automatic,Hybrid
Toyota,Prius,2019,23000,20000,Silver,Hybrid,Automatic,Hybrid
Ford,Focus,2020,18000,16000,Red,2.0L,Automatic,Gasoline
Chevrolet,Cruze,2019,17000,22000,White,1.4L,Automatic,Gasoline
Hyundai,Sonata,2020,24000,13000,Black,2.5L,Automatic,Gasoline
Kia,Cadenza,2019,28000,19000,Gray,3.3L,Automatic,Gasoline



